"id","FIO","link","PART1","№ OVO","LIST №","AGE","GROUP_AGE","EDUCATION","CRIMINAL","PART2","PART2_corr","POSITION","INCOME_TOTAL","INCOME_FAMILY","INCOME_FAVORITE","LAND_QTY","LAND_SQ","APPARTMENTS_QTY","APPARTMENTS_SQ","APPARTMENTS_QTY_FAMILY","APPARTMENTS_SQ_FAMILY","LAND_QTY_FAMILY","LAND_SQ_FAMILY","AVTO_QTY","AVTO_MARK","AVTO_MODEL","AVTO_YEAR","AVTO_QTY_FAMILY","AVTO_MARK_FAMILY","AVTO_MODEL_FAMILY","AVTO_YEAR_FAMILY","DECLARATION_DONE","GENDER","OTHER_ACTIVES","OTHER_ACTIVES_FAMILY"
495,"Абаімов Василь Петрович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=495","Українська Національна Консервативна партія",124,,49,"45+","вища","відсутня","член Української Національної Консервативної партії","член Української Національної Консервативної партії","виконавчий директор",23076,42741,6,4,3087,1,17,1,53,2,3339,0,,,2012,0,,,0,9/6/2012 14:18,"Ч",40000,0
1553,"Абдуллін Олександр Рафкатович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1553","політична партія Всеукраїнське об’єднання ""Батьківщина""",,28,50,"45+","вища","відсутня","член політичної партії Всеукраїнське об’єднання ""Батьківщина""","член політичної партії Всеукраїнське об'єднання ""Батьківщина""","народний депутат України",247500,0,6,0,0,1,66,1,139,0,0,1,"Porsche","Cayenne",2011,2,"Audi",,2006,9/13/2012 17:31,"Ч",10136459,6
2044,"Авдєєва Лілія Геннадіївна","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=2044","політична партія Всеукраїнське об’єднання ""Батьківщина""",170,,48,"45+","вища","відсутня","член політичної партії Всеукраїнське об’єднання ""Батьківщина""","член політичної партії Всеукраїнське об'єднання ""Батьківщина""","приватний підприємець",0,117000,6,1,1000,1,21,2,67,1,100,3,"Audi","A3",2005,0,,,0,9/18/2012 11:23,"Ж",0,0
2057,"Агальцов-Новохатський Анатолій Андрійович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=2057","Політична партія ""Держава""",7,,56,"45+","вища","відсутня","безпартійн","безпартійний","тимчасово не працює",0,12000,6,0,0,1,59,0,0,0,0,3,"ВАЗ",,2012,0,,,0,9/18/2012 11:02,"Ч",0,0
224,"Агапов Сергій Юрійович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=224","Самовисування",19,,48,"45+","вища","відсутня","безпартійн","безпартійний","директор",11797,11919,6,0,0,0,0,0,0,0,0,1,"ГАЗ",3110,1998,0,,,0,9/5/2012 15:02,"Ч",0,0
937,"Агатій Вадим Іванович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=937","Політична партія ""Інтернет партія України""",222,,24,"<25","вища","відсутня","член Політичної партії ""Інтернет партія України""","член Політичної партії ""Інтернет партія України""","тимчасово не працює",0,66000,6,0,0,0,0,1,59,0,0,0,,,2012,0,,,0,9/10/2012 13:55,"Ч",0,0
601,"Адвена Олексій Володимирович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=601","Комуністична партія України",90,,42,"35-44","вища","відсутня","член Комуністичної партії України","член Комуністичної партії України","інструктор Центрального комітету Компартії України",21700,670,6,2,4086,1,50,1,109,0,0,0,,,,2,"Chevrolet","Lacetti",2005,9/6/2012 11:08,"Ч",0,0
307,"Ажищев Володимир Юхимович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=307","Комуністична партія України",,62,61,"45+","вища","відсутня","член Комуністичної партії України","член Комуністичної партії України","лікар швидкої медичної допомоги",82444,9585,6,1,203,1,22,1,22,0,0,1,"ВАЗ",2103,1977,0,,,0,9/5/2012 21:51,"Ч",0,0
1198,"Азаров Микола Янович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1198","Партія регіонів",,1,65,"45+","вища","відсутня","член Партії регіонів","член Партії регіонів","Прем’єр-міністр України",837264,73274,6,1,3998,2,784,0,0,1,1500,0,,,2012,1,"Lexus","RX-400H",2006,9/11/2012 15:56,"Ч",1368515,182000
1425,"Азаров Олексій Миколайович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1425","Партія регіонів",47,,41,"35-44","вища","відсутня","член Партії регіонів","член Партії регіонів","директор",592255,0,6,2,9600,1,104,0,0,0,0,1,"Mercedes","Benz",2011,0,,,0,9/13/2012 16:20,"Ч",11565383,0
